departamento,total,menor_de_15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80_y_mas,ignorado,fuente_cuadro
Total,2365.0,96,175,345,327,244,197,136,114,89,63,69,59,30,29,38,354,cuadro 50
Guatemala,575.0,6,33,86,94,75,65,45,20,14,17,15,5,1,8,10,81,cuadro 50
El Progreso,62.0,8,3,6,11,6,4,4,3,1,1,0,2,1,0,0,12,cuadro 50
Sacatepéquez,94.0,1,6,10,14,12,11,3,2,2,2,4,4,5,1,3,14,cuadro 50
Chimaltenango,134.0,4,7,17,22,10,12,3,8,9,4,5,4,3,2,4,20,cuadro 50
Escuintla,296.0,14,18,50,41,24,18,16,14,9,9,17,5,6,4,2,49,cuadro 50
Santa Rosa,96.0,3,8,12,13,7,10,4,6,5,2,2,3,2,3,1,15,cuadro 50
Sololá,26.0,1,1,5,1,1,3,4,1,0,0,0,3,1,0,0,5,cuadro 50
Totonicapán,14.0,0,0,3,0,2,0,1,1,4,2,0,0,0,0,0,1,cuadro 50
Quetzaltenango,71.0,4,4,11,5,4,3,2,2,6,2,0,4,1,2,1,20,cuadro 50
Suchitepéquez,84.0,3,3,9,16,9,6,5,3,7,3,1,0,0,2,1,16,cuadro 50
Retalhuleu,55.0,2,5,13,6,6,4,2,1,2,2,1,2,1,1,0,7,cuadro 50
San Marcos,51.0,4,3,8,8,8,4,2,1,4,2,1,0,0,0,1,5,cuadro 50
Huehuetenango,44.0,2,5,6,3,3,3,1,2,2,0,3,3,1,2,2,6,cuadro 50
Quiché,58.0,7,5,6,6,4,4,3,7,1,2,2,2,0,1,0,8,cuadro 50
Baja Verapaz,47.0,3,4,6,1,5,4,2,3,2,3,0,4,0,0,1,9,cuadro 50
Alta Verapaz,124.0,9,17,12,16,13,4,10,11,2,2,2,5,2,0,5,14,cuadro 50
Petén,157.0,8,18,27,17,15,16,8,7,5,2,6,5,0,1,2,20,cuadro 50
Izabal,136.0,9,14,19,23,13,13,3,8,5,1,3,3,2,0,2,18,cuadro 50
Zacapa,64.0,1,4,8,7,8,6,5,5,3,2,2,0,0,0,1,12,cuadro 50
Chiquimula,44.0,2,3,11,8,4,1,2,1,1,1,0,2,2,0,0,6,cuadro 50
Jalapa,44.0,4,4,6,5,8,1,3,2,1,0,3,1,0,1,1,4,cuadro 50
Jutiapa,89.0,1,10,14,10,7,5,8,6,4,4,2,2,2,1,1,12,cuadro 50
