grupos_de_edad,total,hombre,mujer,ignorado,fuente_cuadro
Total,8907.0,6446,2445,16,cuadro 38
Menor de 15,718.0,420,296,2,cuadro 38
15-19,1027.0,784,243,0,cuadro 38
20-24,1572.0,1197,374,1,cuadro 38
25-29,1191.0,904,285,2,cuadro 38
30-34,904.0,672,232,0,cuadro 38
35-39,658.0,473,185,0,cuadro 38
40-44,511.0,360,151,0,cuadro 38
45-49,337.0,231,105,1,cuadro 38
50-54,282.0,189,93,0,cuadro 38
55-59,157.0,112,45,0,cuadro 38
60-64,147.0,95,52,0,cuadro 38
65-69,117.0,71,46,0,cuadro 38
70-74,85.0,58,27,0,cuadro 38
75-79,70.0,43,27,0,cuadro 38
80 y más,54.0,32,22,0,cuadro 38
Ignorado,1077.0,805,262,10,cuadro 38
