departamento,total,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fuente_cuadro
Total,8401.0,626,711,780,630,674,549,703,687,686,747,768,840,cuadro 2
Guatemala,3408.0,263,296,289,250,268,236,311,277,255,293,334,336,cuadro 2
El Progreso,182.0,12,9,16,13,19,11,15,13,13,16,21,24,cuadro 2
Sacatepéquez,366.0,27,28,27,32,18,23,33,30,43,38,27,40,cuadro 2
Chimaltenango,299.0,25,28,23,22,29,18,19,21,32,28,28,26,cuadro 2
Escuintla,1123.0,81,96,122,91,91,59,76,106,97,93,95,116,cuadro 2
Santa Rosa,233.0,15,17,29,16,16,14,15,19,17,25,17,33,cuadro 2
Sololá,73.0,6,2,6,5,7,4,6,7,7,6,4,13,cuadro 2
Totonicapán,49.0,2,2,5,3,3,5,7,4,4,5,7,2,cuadro 2
Quetzaltenango,218.0,11,24,14,14,15,18,22,19,21,17,24,19,cuadro 2
Suchitepéquez,194.0,13,19,24,13,22,10,14,14,9,21,19,16,cuadro 2
Retalhuleu,176.0,11,18,23,16,11,12,11,17,11,15,13,18,cuadro 2
San Marcos,144.0,16,9,13,6,17,13,12,14,12,12,8,12,cuadro 2
Huehuetenango,128.0,5,13,14,11,15,10,13,8,12,10,6,11,cuadro 2
Quiché,153.0,7,14,14,14,11,4,19,8,20,11,13,18,cuadro 2
Baja Verapaz,172.0,18,16,9,13,17,14,14,6,7,10,25,23,cuadro 2
Alta Verapaz,364.0,29,34,31,33,33,28,28,32,27,33,25,31,cuadro 2
Petén,268.0,24,16,28,22,10,24,24,21,27,33,21,18,cuadro 2
Izabal,271.0,16,18,26,17,25,23,24,20,30,28,17,27,cuadro 2
Zacapa,120.0,4,13,15,11,11,3,11,12,6,11,12,11,cuadro 2
Chiquimula,124.0,6,22,1,4,7,6,12,14,14,13,14,11,cuadro 2
Jalapa,108.0,11,7,18,6,10,6,5,7,7,12,11,8,cuadro 2
Jutiapa,228.0,24,10,33,18,19,8,12,18,15,17,27,27,cuadro 2
