hora_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,2365.0,303,249,248,256,350,459,500,cuadro 51
00:00 a 00:59,181.0,27,16,12,14,23,49,40,cuadro 51
01:00 a 01:59,119.0,15,6,14,9,9,26,40,cuadro 51
02:00 a 02:59,87.0,8,7,9,6,10,21,26,cuadro 51
03:00 a 03:59,59.0,6,5,4,4,12,9,19,cuadro 51
04:00 a 04:59,43.0,3,3,3,5,9,8,12,cuadro 51
05:00 a 05:59,72.0,13,3,5,7,11,15,18,cuadro 51
06:00 a 06:59,110.0,13,12,15,13,14,17,26,cuadro 51
07:00 a 07:59,103.0,20,18,15,8,14,14,14,cuadro 51
08:00 a 08:59,75.0,12,11,9,12,14,9,8,cuadro 51
09:00 a 09:59,60.0,14,5,9,9,9,7,7,cuadro 51
10:00 a 10:59,65.0,13,3,6,10,11,9,13,cuadro 51
11:00 a 11:59,59.0,8,8,6,14,3,11,9,cuadro 51
12:00 a 12:59,62.0,9,7,8,6,15,9,8,cuadro 51
13:00 a 13:59,60.0,8,10,9,11,8,5,9,cuadro 51
14:00 a 14:59,81.0,7,10,10,15,16,9,14,cuadro 51
15:00 a 15:59,87.0,11,8,9,8,12,12,27,cuadro 51
16:00 a 16:59,85.0,10,11,11,12,11,18,12,cuadro 51
17:00 a 17:59,105.0,16,16,6,4,10,21,32,cuadro 51
18:00 a 18:59,118.0,15,21,9,17,10,23,23,cuadro 51
19:00 a 19:59,163.0,20,24,15,9,15,42,38,cuadro 51
20:00 a 20:59,183.0,24,14,18,17,27,39,44,cuadro 51
21:00 a 21:59,142.0,14,13,19,16,28,28,24,cuadro 51
22:00 a 22:59,108.0,4,7,11,14,21,34,17,cuadro 51
23:00 a 23:59,138.0,13,11,16,16,38,24,20,cuadro 51
