departamento,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,1495.0,205,181,159,181,213,280,276,cuadro 40
Guatemala,715.0,108,82,85,90,101,124,125,cuadro 40
El Progreso,17.0,1,3,0,1,7,3,2,cuadro 40
Sacatepéquez,58.0,3,5,4,9,5,14,18,cuadro 40
Chimaltenango,50.0,6,8,4,7,10,8,7,cuadro 40
Escuintla,174.0,20,27,16,20,25,32,34,cuadro 40
Santa Rosa,40.0,4,4,0,3,5,13,11,cuadro 40
Sololá,18.0,3,2,0,4,2,3,4,cuadro 40
Totonicapán,13.0,0,2,0,2,0,5,4,cuadro 40
Quetzaltenango,25.0,4,3,3,4,4,3,4,cuadro 40
Suchitepéquez,42.0,8,2,7,3,6,10,6,cuadro 40
Retalhuleu,24.0,4,4,3,3,3,4,3,cuadro 40
San Marcos,17.0,3,1,4,0,3,2,4,cuadro 40
Huehuetenango,17.0,2,6,0,0,3,2,4,cuadro 40
Quiché,31.0,5,5,6,5,4,3,3,cuadro 40
Baja Verapaz,33.0,6,3,3,5,5,6,5,cuadro 40
Alta Verapaz,94.0,7,7,12,13,15,24,16,cuadro 40
Petén,28.0,4,0,3,2,3,10,6,cuadro 40
Izabal,35.0,4,6,3,5,5,6,6,cuadro 40
Zacapa,7.0,2,2,0,0,0,1,2,cuadro 40
Chiquimula,6.0,3,0,1,0,0,2,0,cuadro 40
Jalapa,17.0,2,4,1,1,0,4,5,cuadro 40
Jutiapa,34.0,6,5,4,4,7,1,7,cuadro 40
