departamento,total,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,fuente_cuadro
Total,2073.0,167,203,205,155,134,140,187,150,166,174,182,210,cuadro 11
Guatemala,852.0,59,89,92,66,62,57,94,57,51,65,78,82,cuadro 11
El Progreso,27.0,2,0,2,0,4,0,1,6,3,0,4,5,cuadro 11
Sacatepéquez,76.0,9,6,6,4,3,4,7,4,8,10,7,8,cuadro 11
Chimaltenango,111.0,10,14,10,6,5,8,7,7,16,9,7,12,cuadro 11
Escuintla,238.0,27,23,27,22,19,15,12,13,13,17,20,30,cuadro 11
Santa Rosa,57.0,5,4,9,2,0,5,4,8,4,5,2,9,cuadro 11
Sololá,22.0,1,2,1,1,2,1,4,3,1,3,0,3,cuadro 11
Totonicapán,9.0,0,0,1,2,0,0,1,1,2,0,1,1,cuadro 11
Quetzaltenango,49.0,6,6,1,4,2,5,7,3,4,3,6,2,cuadro 11
Suchitepéquez,52.0,4,3,8,6,6,1,1,3,3,5,6,6,cuadro 11
Retalhuleu,32.0,1,6,3,3,1,1,2,3,2,3,2,5,cuadro 11
San Marcos,31.0,4,3,3,0,3,3,3,5,2,3,1,1,cuadro 11
Huehuetenango,32.0,1,5,4,4,1,1,1,2,5,3,2,3,cuadro 11
Quiché,46.0,2,5,2,4,1,0,7,2,6,3,7,7,cuadro 11
Baja Verapaz,43.0,3,7,2,4,3,3,4,2,2,4,9,0,cuadro 11
Alta Verapaz,127.0,11,8,9,12,8,9,12,9,11,14,10,14,cuadro 11
Petén,75.0,7,5,8,4,1,9,4,7,8,10,8,4,cuadro 11
Izabal,69.0,3,7,2,2,6,11,9,6,12,4,3,4,cuadro 11
Zacapa,23.0,0,2,3,4,3,1,0,3,1,1,1,4,cuadro 11
Chiquimula,17.0,0,4,0,0,0,1,3,1,2,4,1,1,cuadro 11
Jalapa,28.0,5,1,3,1,2,2,1,2,3,6,1,1,cuadro 11
Jutiapa,57.0,7,3,9,4,2,3,3,3,7,2,6,8,cuadro 11
