departamento,2020,2021,2022,2023,2024,fuente_cuadro
Total,8142.0,10544.0,10722.0,11198.0,11274.0,cuadro 29
Guatemala,3025.0,3982.0,3947.0,4074.0,4092.0,cuadro 29
El Progreso,198.0,253.0,265.0,276.0,276.0,cuadro 29
Sacatepéquez,262.0,336.0,466.0,468.0,478.0,cuadro 29
Chimaltenango,316.0,372.0,403.0,372.0,349.0,cuadro 29
Escuintla,659.0,896.0,1041.0,1322.0,1549.0,cuadro 29
Santa Rosa,283.0,333.0,380.0,442.0,338.0,cuadro 29
Sololá,101.0,177.0,93.0,139.0,126.0,cuadro 29
Totonicapán,74.0,79.0,113.0,107.0,102.0,cuadro 29
Quetzaltenango,240.0,296.0,364.0,392.0,311.0,cuadro 29
Suchitepéquez,256.0,293.0,265.0,287.0,315.0,cuadro 29
Retalhuleu,255.0,284.0,285.0,289.0,254.0,cuadro 29
San Marcos,188.0,217.0,197.0,287.0,216.0,cuadro 29
Huehuetenango,173.0,196.0,205.0,193.0,166.0,cuadro 29
Quiché,172.0,302.0,275.0,250.0,258.0,cuadro 29
Baja Verapaz,165.0,183.0,250.0,218.0,236.0,cuadro 29
Alta Verapaz,400.0,607.0,518.0,468.0,558.0,cuadro 29
Petén,293.0,368.0,331.0,384.0,351.0,cuadro 29
Izabal,294.0,332.0,327.0,347.0,426.0,cuadro 29
Zacapa,197.0,242.0,199.0,177.0,199.0,cuadro 29
Chiquimula,205.0,261.0,236.0,179.0,195.0,cuadro 29
Jalapa,162.0,209.0,205.0,180.0,157.0,cuadro 29
Jutiapa,224.0,326.0,357.0,347.0,322.0,cuadro 29
