hora_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,1495.0,205,181,159,181,213,280,276,cuadro 42
00:00 a 00:59,84.0,17,7,12,8,7,10,23,cuadro 42
01:00 a 01:59,44.0,1,2,0,5,5,14,17,cuadro 42
02:00 a 02:59,23.0,4,2,0,2,1,5,9,cuadro 42
03:00 a 03:59,15.0,1,1,0,2,7,1,3,cuadro 42
04:00 a 04:59,8.0,0,0,0,3,1,1,3,cuadro 42
05:00 a 05:59,24.0,3,0,3,2,1,4,11,cuadro 42
06:00 a 06:59,29.0,2,3,7,2,0,8,7,cuadro 42
07:00 a 07:59,41.0,7,13,4,5,4,3,5,cuadro 42
08:00 a 08:59,24.0,2,2,2,9,3,2,4,cuadro 42
09:00 a 09:59,47.0,7,9,11,9,3,6,2,cuadro 42
10:00 a 10:59,48.0,11,7,3,5,9,8,5,cuadro 42
11:00 a 11:59,46.0,6,6,4,6,10,6,8,cuadro 42
12:00 a 12:59,63.0,8,8,9,6,8,16,8,cuadro 42
13:00 a 13:59,68.0,10,10,6,6,13,11,12,cuadro 42
14:00 a 14:59,71.0,10,12,8,6,17,7,11,cuadro 42
15:00 a 15:59,62.0,9,6,6,7,11,9,14,cuadro 42
16:00 a 16:59,72.0,7,15,7,9,6,8,20,cuadro 42
17:00 a 17:59,77.0,9,4,10,14,15,16,9,cuadro 42
18:00 a 18:59,98.0,14,6,11,12,20,20,15,cuadro 42
19:00 a 19:59,127.0,27,16,9,15,8,33,19,cuadro 42
20:00 a 20:59,133.0,19,22,18,14,18,16,26,cuadro 42
21:00 a 21:59,148.0,20,12,11,24,24,36,21,cuadro 42
22:00 a 22:59,86.0,5,8,12,6,14,27,14,cuadro 42
23:00 a 23:59,57.0,6,10,6,4,8,13,10,cuadro 42
