zona_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,273.0,33,23,29,29,52,65,42,cuadro 61
1,17.0,2,3,0,0,5,3,4,cuadro 61
2,6.0,1,0,2,0,1,2,0,cuadro 61
3,7.0,0,0,1,1,1,1,3,cuadro 61
4,3.0,0,1,0,1,0,0,1,cuadro 61
5,12.0,2,0,0,1,3,4,2,cuadro 61
6,16.0,2,4,1,0,1,3,5,cuadro 61
7,28.0,6,0,4,2,8,2,6,cuadro 61
8,8.0,1,1,1,0,0,3,2,cuadro 61
9,15.0,2,1,1,4,3,3,1,cuadro 61
10,12.0,1,1,4,2,4,0,0,cuadro 61
11,20.0,1,2,3,4,7,2,1,cuadro 61
12,43.0,5,0,6,3,8,15,6,cuadro 61
13,11.0,0,1,0,1,2,5,2,cuadro 61
14,3.0,0,0,0,1,1,1,0,cuadro 61
15,4.0,0,1,1,0,0,2,0,cuadro 61
16,5.0,0,1,1,0,1,2,0,cuadro 61
17,16.0,1,4,0,1,1,7,2,cuadro 61
18,37.0,6,2,4,8,2,9,6,cuadro 61
19,2.0,1,0,0,0,1,0,0,cuadro 61
21,4.0,1,0,0,0,2,0,1,cuadro 61
25,3.0,1,0,0,0,1,1,0,cuadro 61
Ignorado,1.0,0,1,0,0,0,0,0,cuadro 61
