hora_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,8401.0,1141,970,910,981,1182,1615,1602,cuadro 7
00:00 a 00:59,560.0,84,51,59,59,70,108,129,cuadro 7
01:00 a 01:59,311.0,31,33,28,27,30,72,90,cuadro 7
02:00 a 02:59,233.0,28,20,20,11,28,60,66,cuadro 7
03:00 a 03:59,167.0,24,10,10,15,34,26,48,cuadro 7
04:00 a 04:59,123.0,10,10,5,13,19,29,37,cuadro 7
05:00 a 05:59,215.0,37,12,19,27,24,47,49,cuadro 7
06:00 a 06:59,254.0,33,33,38,32,29,37,52,cuadro 7
07:00 a 07:59,293.0,53,54,36,29,31,53,37,cuadro 7
08:00 a 08:59,225.0,33,29,32,35,44,25,27,cuadro 7
09:00 a 09:59,265.0,44,39,40,37,38,33,34,cuadro 7
10:00 a 10:59,240.0,44,25,28,37,33,34,39,cuadro 7
11:00 a 11:59,280.0,30,38,35,43,35,43,56,cuadro 7
12:00 a 12:59,278.0,47,35,30,26,44,49,47,cuadro 7
13:00 a 13:59,309.0,44,38,35,40,53,46,53,cuadro 7
14:00 a 14:59,348.0,41,44,43,47,67,52,54,cuadro 7
15:00 a 15:59,333.0,52,29,41,35,42,64,70,cuadro 7
16:00 a 16:59,355.0,47,46,43,50,45,62,62,cuadro 7
17:00 a 17:59,458.0,58,53,43,53,61,94,96,cuadro 7
18:00 a 18:59,502.0,63,67,43,64,75,103,87,cuadro 7
19:00 a 19:59,619.0,88,85,62,67,65,132,120,cuadro 7
20:00 a 20:59,600.0,81,69,70,70,71,112,127,cuadro 7
21:00 a 21:59,568.0,76,65,48,66,93,127,93,cuadro 7
22:00 a 22:59,434.0,35,44,47,56,77,110,65,cuadro 7
23:00 a 23:59,429.0,58,41,55,42,73,97,63,cuadro 7
Ignorada,2.0,0,0,0,0,1,0,1,cuadro 7
