departamento,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,2073.0,272,258,228,241,295,377,402,cuadro 12
Guatemala,852.0,117,102,102,111,129,140,151,cuadro 12
El Progreso,27.0,2,4,2,3,5,2,9,cuadro 12
Sacatepéquez,76.0,5,9,9,10,6,18,19,cuadro 12
Chimaltenango,111.0,15,12,16,15,19,16,18,cuadro 12
Escuintla,238.0,22,39,19,26,41,47,44,cuadro 12
Santa Rosa,57.0,9,6,4,3,9,15,11,cuadro 12
Sololá,22.0,5,4,0,4,1,3,5,cuadro 12
Totonicapán,9.0,0,3,1,1,1,2,1,cuadro 12
Quetzaltenango,49.0,14,6,8,6,4,4,7,cuadro 12
Suchitepéquez,52.0,9,3,8,8,6,9,9,cuadro 12
Retalhuleu,32.0,6,4,5,3,4,7,3,cuadro 12
San Marcos,31.0,4,3,3,0,5,4,12,cuadro 12
Huehuetenango,32.0,2,9,2,3,5,5,6,cuadro 12
Quiché,46.0,9,7,5,5,7,7,6,cuadro 12
Baja Verapaz,43.0,6,6,4,5,6,6,10,cuadro 12
Alta Verapaz,127.0,14,12,17,14,20,30,20,cuadro 12
Petén,75.0,8,5,6,8,7,18,23,cuadro 12
Izabal,69.0,4,11,6,7,7,16,18,cuadro 12
Zacapa,23.0,3,2,1,0,4,5,8,cuadro 12
Chiquimula,17.0,3,1,1,2,3,6,1,cuadro 12
Jalapa,28.0,4,4,3,1,1,7,8,cuadro 12
Jutiapa,57.0,11,6,6,6,5,10,13,cuadro 12
