hora_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,629.0,79,65,72,63,98,108,144,cuadro 58
00:00 a 00:59,45.0,7,2,1,4,7,10,14,cuadro 58
01:00 a 01:59,21.0,0,2,5,1,4,5,4,cuadro 58
02:00 a 02:59,23.0,6,1,2,0,2,7,5,cuadro 58
03:00 a 03:59,12.0,2,0,1,1,3,1,4,cuadro 58
04:00 a 04:59,12.0,1,1,0,1,3,3,3,cuadro 58
05:00 a 05:59,25.0,5,3,1,2,4,3,7,cuadro 58
06:00 a 06:59,35.0,3,4,6,4,4,5,9,cuadro 58
07:00 a 07:59,37.0,7,7,6,3,6,3,5,cuadro 58
08:00 a 08:59,16.0,5,1,2,4,2,0,2,cuadro 58
09:00 a 09:59,12.0,3,0,2,2,2,1,2,cuadro 58
10:00 a 10:59,23.0,4,0,3,3,4,5,4,cuadro 58
11:00 a 11:59,15.0,0,2,4,4,1,3,1,cuadro 58
12:00 a 12:59,15.0,3,4,2,0,3,0,3,cuadro 58
13:00 a 13:59,11.0,2,3,0,2,0,2,2,cuadro 58
14:00 a 14:59,21.0,0,4,4,1,4,3,5,cuadro 58
15:00 a 15:59,24.0,1,4,3,3,4,2,7,cuadro 58
16:00 a 16:59,20.0,2,2,3,3,3,4,3,cuadro 58
17:00 a 17:59,17.0,3,0,1,0,2,3,8,cuadro 58
18:00 a 18:59,25.0,2,3,2,5,3,8,2,cuadro 58
19:00 a 19:59,49.0,5,10,5,2,6,11,10,cuadro 58
20:00 a 20:59,62.0,9,5,3,7,10,12,16,cuadro 58
21:00 a 21:59,40.0,4,2,7,4,9,7,7,cuadro 58
22:00 a 22:59,33.0,1,1,7,2,6,4,12,cuadro 58
23:00 a 23:59,36.0,4,4,2,5,6,6,9,cuadro 58
