mes_de_ocurrencia,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,8401.0,1141,970,910,981,1182,1615,1602,cuadro 5
Enero,626.0,107,69,69,80,72,129,100,cuadro 5
Febrero,711.0,81,89,74,109,92,139,127,cuadro 5
Marzo,780.0,109,89,74,80,123,146,159,cuadro 5
Abril,630.0,97,87,73,64,76,115,118,cuadro 5
Mayo,674.0,94,58,92,74,128,114,114,cuadro 5
Junio,549.0,57,62,50,70,66,100,144,cuadro 5
Julio,703.0,105,104,83,76,89,116,130,cuadro 5
Agosto,687.0,82,66,65,104,105,149,116,cuadro 5
Septiembre,686.0,93,65,67,64,104,132,161,cuadro 5
Octubre,747.0,86,103,90,92,101,146,129,cuadro 5
Noviembre,768.0,95,73,87,77,132,164,140,cuadro 5
Diciembre,840.0,135,105,86,91,94,165,164,cuadro 5
