departamento,total,menor_de_15,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80_y_mas,ignorado,fuente_cuadro
Total,629.0,28,26,39,49,47,62,46,38,40,32,36,31,20,21,27,87,cuadro 57
Guatemala,160.0,3,3,10,22,13,19,16,8,7,7,7,5,1,5,6,28,cuadro 57
El Progreso,12.0,3,1,0,2,1,1,0,0,1,1,0,0,0,0,0,2,cuadro 57
Sacatepéquez,20.0,0,0,0,0,0,4,1,2,0,1,3,0,3,1,2,3,cuadro 57
Chimaltenango,55.0,2,1,3,3,4,4,3,5,5,4,3,3,3,2,4,6,cuadro 57
Escuintla,59.0,3,0,5,2,4,5,7,3,4,5,6,2,3,4,2,4,cuadro 57
Santa Rosa,24.0,0,0,3,2,0,5,1,3,2,1,1,1,1,1,0,3,cuadro 57
Sololá,8.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,cuadro 57
Totonicapán,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,cuadro 57
Quetzaltenango,24.0,1,0,1,0,2,1,1,1,4,2,0,2,1,2,1,5,cuadro 57
Suchitepéquez,15.0,1,1,1,0,1,2,1,0,1,1,1,0,0,1,1,3,cuadro 57
Retalhuleu,9.0,0,0,1,1,2,1,0,0,0,0,1,0,1,1,0,1,cuadro 57
San Marcos,14.0,1,1,2,1,0,1,0,0,3,1,1,0,0,0,1,2,cuadro 57
Huehuetenango,14.0,1,0,0,1,2,1,0,0,1,0,1,3,1,1,2,0,cuadro 57
Quiché,15.0,3,0,1,0,2,0,2,1,1,1,2,0,0,1,0,1,cuadro 57
Baja Verapaz,14.0,0,0,1,0,1,1,0,1,1,1,0,2,0,0,1,5,cuadro 57
Alta Verapaz,41.0,3,5,0,6,4,1,4,2,2,1,1,2,2,0,3,5,cuadro 57
Petén,50.0,2,4,5,3,3,9,4,1,3,2,3,4,0,1,2,4,cuadro 57
Izabal,39.0,4,4,2,5,4,4,0,5,1,1,2,2,2,0,1,2,cuadro 57
Zacapa,11.0,0,1,1,1,1,1,1,2,2,0,0,0,0,0,0,1,cuadro 57
Chiquimula,11.0,1,1,2,0,0,0,0,1,1,0,0,2,1,0,0,2,cuadro 57
Jalapa,10.0,0,0,1,0,1,1,2,1,0,0,3,0,0,0,1,0,cuadro 57
Jutiapa,22.0,0,3,0,0,1,1,2,2,1,2,1,2,1,1,0,5,cuadro 57
